Price,Close,High,Low,Open,Volume
Ticker,6861.T,6861.T,6861.T,6861.T,6861.T
Date,,,,,
2024-01-01,66068.140625,67467.30070732578,59657.804361294686,61642.42859154401,12017800
2024-02-01,69501.546875,70999.93830534338,63031.6712949743,65849.83795866648,12187700
2024-03-01,69134.390625,74463.1071120999,67000.91940577005,70057.24096634131,11215200
2024-04-01,69912.15625,70409.3977596017,61737.50583214794,69802.76311788763,13175800
2024-05-01,70300.0,74178.48351959258,68390.59272881596,69206.06875088414,9518300
2024-06-01,70160.7734375,72030.4014185418,66829.25549255847,70807.18736711552,8676300
2024-07-01,65526.48046875,76972.97902991729,63567.34909033996,70389.502012113,11182300
2024-08-01,69225.9609375,71264.65106710602,52140.74316841151,65526.48421450761,15752000
2024-09-01,67982.8515625,71483.43139719866,61459.04368874342,69255.7896842086,11479900
2024-10-01,69580.0390625,71105.65470832438,63547.37588783498,68802.27422345227,11175800
2024-11-01,64534.54296875,69161.24691459363,63527.437152952145,68184.05513292839,10553000
2024-12-01,64444.80078125,66778.09544051235,62699.8154591521,65092.93818660065,9658600
2025-01-01,67057.2890625,69290.87014056691,61692.705937499995,64444.79690868959,10668700
2025-02-01,59239.7578125,66159.87091162051,58561.706384920464,65421.99141690161,12942700
2025-03-01,58312.421875,62181.30349050958,58312.421875,59857.98025232986,11730000
2025-04-01,59840.0,63130.0,49780.0,59260.0,14996400
2025-05-01,60740.0,64900.0,60010.0,60400.0,10655300
2025-06-01,59470.0,60390.0,59150.0,60260.0,1005500
