Date,Close,High,Low,Open,Volume,RSI_month_end,momentum_3m
2020-01-31,36598.5390625,36853.171659670195,36187.20948245585,36353.700026759434,540700,32.46006638330583,0.0860216424785687
2020-02-28,33699.640625,34140.350833696604,33405.83381920227,33866.131148285385,927800,24.231689131179905,-0.0809293033931896
2020-03-31,34222.6640625,35647.380194875106,33967.197721522396,35165.924398417315,875500,59.24095280299178,-0.0921264970816138
2020-04-30,38093.95703125,38781.7509420541,37592.85003909273,38585.23839611007,1222500,66.86752181785089,0.04086004542957977
2020-05-29,43576.66015625,43812.475228121475,42299.32851694617,43576.66015625,1892200,74.6606373505788,0.2930897584683072
2020-06-30,44244.80078125,44500.267097108874,44067.9394856554,44392.1851942455,484700,51.92009512078496,0.2928508634058067
2020-07-31,43448.92578125,44804.86240671642,43389.97201492537,44755.73426811256,560600,43.66706534447586,0.1405726568549206
2020-08-31,42918.3359375,43340.837870950665,42653.044025798416,42780.77716846955,429800,47.10482289986194,-0.015107266513530115
2020-09-30,48232.23828125,49246.51360647841,48232.23828125,48567.047611907925,727500,80.1482190560131,0.09012217095776354
2020-10-30,46528.64453125,47710.32439236111,46499.102534722224,47277.04177662037,606500,35.25719575745208,0.07088135539887208
2020-11-30,52476.4375,53274.07147213361,52446.89550103209,52722.6208247326,886400,54.15823818604615,0.22270438388895197
2020-12-30,57114.52734375,57675.82528488685,56956.970026939656,57252.38999595905,458200,71.9671549080353,0.18415668397360974
2021-01-29,55282.92578125,57203.15565786984,55282.92578125,56907.7356768514,564100,37.92472775169673,0.18814821145542648
2021-02-26,49788.109375,51856.049044452135,49788.109375,51353.835124728044,961800,31.586291855258807,-0.05122924217178426
2021-03-31,49601.015625,50952.78390441615,49561.547938009746,50725.844704222196,797500,59.83163400273607,-0.1315516746471368
2021-04-30,51821.07421875,52314.4203175576,51071.188148562454,52294.686473605296,1311600,53.17816824433239,-0.06262062858608941
2021-05-31,53153.10546875,54179.26529216749,52936.033198411686,53794.45535838593,368700,63.24235428386963,0.06758634011195563
2021-06-30,55323.828125,55836.90803627163,55096.88893347601,55452.09810281791,459300,61.98703725080269,0.1153769217805205
2021-07-30,59931.68359375,61273.584971548815,58530.580684577704,58708.18527869814,1159300,62.812303165821234,0.15651179558268224
2021-08-31,65249.9453125,65703.82365581997,64233.65250028353,64391.52322839483,512300,59.87717954640311,0.22758481817891196
2021-09-30,66196.0390625,66196.0390625,63587.71752332089,64516.43807136194,3073100,35.14752309695106,0.19651949812538394
2021-10-29,67687.921875,68112.76213782659,66225.68097038753,67411.28170385711,841600,60.04710913461017,0.12941799422532596
2021-11-30,69486.0859375,71807.8874724513,69308.24581992926,71294.1271328025,778900,42.147960499856595,0.06492174981468501
2021-12-30,71412.6875,71748.60772343664,70474.08687569176,70918.68717141672,414200,49.636240786162254,0.07880605110790118
2022-01-31,57531.27734375,58203.11777984394,55347.795926444705,55663.956131665385,571000,37.374342912361584,-0.1500510615469387
2022-02-28,53134.671875,53727.47223061547,52601.15155494608,53589.15214763853,742100,30.702308987647243,-0.2353192562494807
2022-03-31,56671.37109375,57750.354403657206,56522.88715201965,56809.956106031656,725800,61.69190864661449,-0.2064243332986173
2022-04-28,52315.84375,52711.80094016083,51177.4668282876,52701.90201040681,1007100,34.92942024604079,-0.0906538814111102
2022-05-31,51068.58203125,51177.47026585821,50147.98150228969,50583.53444072253,1616100,55.604979707621226,-0.03888402376155631
2022-06-30,45911.23828125,46485.3762330207,45574.67465434994,45812.248979220574,729800,29.04910564626897,-0.18986893390491277
2022-07-29,51900.08984375,53375.030409593746,51692.21231433578,53038.46679054215,1021400,60.37036354989417,-0.007946998011477135
2022-08-31,52305.9453125,52305.9453125,51444.73841579533,51662.51487243329,961400,43.09440423755093,0.02422944268342575
2022-09-30,47552.890625,48297.45571829332,47503.25295211378,47761.36885112213,797300,24.64861975169093,0.03575709140523098
2022-10-31,55911.87109375,56586.94340098988,54770.2046918002,56586.94340098988,1469900,73.68788471341941,0.07729815617040048
2022-11-30,56725.93359375,57728.61460407005,56696.15098948307,57669.04939553618,860200,49.23988319341778,0.08450259821981887
